#      index      mass[g]      radius[cm]      temperature[K]      density[g/cm^3]      velocity[cm/s]      ye(initial)      entropy[kb/baryon]      expansion_timescale[s]
3000
   170     9.137500375e+30     3.709014116e+08     1.000000000e+09     1.334437010e+05     1.669056352e+09     2.775000000e-01     1.000000000e+01     1.000000000e-02
   171     9.188766097e+30     3.711237079e+08     1.000000000e+09     1.332040536e+05     1.670056686e+09     2.775000000e-01     1.000000000e+01     1.000000000e-02
   172     9.240001121e+30     3.713460042e+08     1.000000000e+09     1.329649797e+05     1.671057019e+09     2.775000000e-01     1.000000000e+01     1.000000000e-02
   173     9.291205484e+30     3.715683005e+08     1.000000000e+09     1.327264775e+05     1.672057352e+09     2.775000000e-01     1.000000000e+01     1.000000000e-02
   174     9.342379222e+30     3.717905969e+08     1.000000000e+09     1.324885454e+05     1.673057686e+09     2.775000000e-01     1.000000000e+01     1.000000000e-02
   175     9.393522372e+30     3.720128932e+08     1.000000000e+09     1.322511817e+05     1.674058019e+09     2.775000000e-01     1.000000000e+01     1.000000000e-02
   176     9.444634970e+30     3.722351895e+08     1.000000000e+09     1.320143847e+05     1.675058353e+09     2.775000000e-01     1.000000000e+01     1.000000000e-02
   177     9.495717054e+30     3.724574858e+08     1.000000000e+09     1.317781526e+05     1.676058686e+09     2.775000000e-01     1.000000000e+01     1.000000000e-02
   178     9.546768659e+30     3.726797821e+08     1.000000000e+09     1.315424838e+05     1.677059020e+09     2.775000000e-01     1.000000000e+01     1.000000000e-02
   179     9.597789821e+30     3.729020785e+08     1.000000000e+09     1.313073767e+05     1.678059353e+09     2.775000000e-01     1.000000000e+01     1.000000000e-02
   180     9.648780578e+30     3.731243748e+08     1.000000000e+09     1.310728295e+05     1.679059687e+09     2.775000000e-01     1.000000000e+01     1.000000000e-02
   181     9.699740965e+30     3.733466711e+08     1.000000000e+09     1.308388406e+05     1.680060020e+09     2.775000000e-01     1.000000000e+01     1.000000000e-02
   182     9.750671019e+30     3.735689674e+08     1.000000000e+09     1.306054082e+05     1.681060353e+09     2.775000000e-01     1.000000000e+01     1.000000000e-02
