#      index      mass[g]      radius[cm]      temperature[K]      density[g/cm^3]      velocity[cm/s]      ye(initial)      entropy[kb/baryon]      expansion_timescale[s]
3000
   115     1.557984605e+30     2.785095032e+08     1.000000000e+09     5.314282281e+04     1.671057019e+09     4.000000000e-01     1.000000000e+01     1.000000000e-02
   116     1.570933252e+30     2.787595865e+08     1.000000000e+09     5.299992315e+04     1.672557519e+09     4.000000000e-01     1.000000000e+01     1.000000000e-02
   117     1.583870288e+30     2.790096699e+08     1.000000000e+09     5.285753538e+04     1.674058019e+09     4.000000000e-01     1.000000000e+01     1.000000000e-02
   118     1.596795734e+30     2.792597533e+08     1.000000000e+09     5.271565719e+04     1.675558520e+09     4.000000000e-01     1.000000000e+01     1.000000000e-02
   119     1.609709609e+30     2.795098366e+08     1.000000000e+09     5.257428631e+04     1.677059020e+09     4.000000000e-01     1.000000000e+01     1.000000000e-02
   120     1.622611936e+30     2.797599200e+08     1.000000000e+09     5.243342048e+04     1.678559520e+09     4.000000000e-01     1.000000000e+01     1.000000000e-02
   121     1.635502734e+30     2.800100033e+08     1.000000000e+09     5.229305744e+04     1.680060020e+09     4.000000000e-01     1.000000000e+01     1.000000000e-02
   122     1.648382024e+30     2.802600867e+08     1.000000000e+09     5.215319496e+04     1.681560520e+09     4.000000000e-01     1.000000000e+01     1.000000000e-02
   123     1.661249826e+30     2.805101701e+08     1.000000000e+09     5.201383079e+04     1.683061020e+09     4.000000000e-01     1.000000000e+01     1.000000000e-02
   124     1.674106162e+30     2.807602534e+08     1.000000000e+09     5.187496273e+04     1.684561521e+09     4.000000000e-01     1.000000000e+01     1.000000000e-02
   125     1.686951051e+30     2.810103368e+08     1.000000000e+09     5.173658857e+04     1.686062021e+09     4.000000000e-01     1.000000000e+01     1.000000000e-02
   126     1.699784514e+30     2.812604201e+08     1.000000000e+09     5.159870612e+04     1.687562521e+09     4.000000000e-01     1.000000000e+01     1.000000000e-02
   127     1.712606571e+30     2.815105035e+08     1.000000000e+09     5.146131318e+04     1.689063021e+09     4.000000000e-01     1.000000000e+01     1.000000000e-02
   128     1.725417243e+30     2.817605869e+08     1.000000000e+09     5.132440760e+04     1.690563521e+09     4.000000000e-01     1.000000000e+01     1.000000000e-02
   129     1.738216549e+30     2.820106702e+08     1.000000000e+09     5.118798722e+04     1.692064021e+09     4.000000000e-01     1.000000000e+01     1.000000000e-02
   130     1.751004510e+30     2.822607536e+08     1.000000000e+09     5.105204988e+04     1.693564522e+09     4.000000000e-01     1.000000000e+01     1.000000000e-02
   131     1.763781146e+30     2.825108369e+08     1.000000000e+09     5.091659345e+04     1.695065022e+09     4.000000000e-01     1.000000000e+01     1.000000000e-02
   132     1.776546477e+30     2.827609203e+08     1.000000000e+09     5.078161580e+04     1.696565522e+09     4.000000000e-01     1.000000000e+01     1.000000000e-02
   133     1.789300523e+30     2.830110037e+08     1.000000000e+09     5.064711483e+04     1.698066022e+09     4.000000000e-01     1.000000000e+01     1.000000000e-02
   134     1.802043303e+30     2.832610870e+08     1.000000000e+09     5.051308843e+04     1.699566522e+09     4.000000000e-01     1.000000000e+01     1.000000000e-02
   135     1.814774838e+30     2.835111704e+08     1.000000000e+09     5.037953450e+04     1.701067022e+09     4.000000000e-01     1.000000000e+01     1.000000000e-02
   136     1.827495148e+30     2.837612538e+08     1.000000000e+09     5.024645098e+04     1.702567523e+09     4.000000000e-01     1.000000000e+01     1.000000000e-02
   137     1.840204252e+30     2.840113371e+08     1.000000000e+09     5.011383578e+04     1.704068023e+09     4.000000000e-01     1.000000000e+01     1.000000000e-02
   138     1.852902170e+30     2.842614205e+08     1.000000000e+09     4.998168685e+04     1.705568523e+09     4.000000000e-01     1.000000000e+01     1.000000000e-02
   139     1.865588922e+30     2.845115038e+08     1.000000000e+09     4.985000215e+04     1.707069023e+09     4.000000000e-01     1.000000000e+01     1.000000000e-02
   140     1.878264528e+30     2.847615872e+08     1.000000000e+09     4.971877963e+04     1.708569523e+09     4.000000000e-01     1.000000000e+01     1.000000000e-02
   141     1.890929006e+30     2.850116706e+08     1.000000000e+09     4.958801727e+04     1.710070023e+09     4.000000000e-01     1.000000000e+01     1.000000000e-02
   142     1.903582376e+30     2.852617539e+08     1.000000000e+09     4.945771306e+04     1.711570524e+09     4.000000000e-01     1.000000000e+01     1.000000000e-02
   143     1.916224659e+30     2.855118373e+08     1.000000000e+09     4.932786499e+04     1.713071024e+09     4.000000000e-01     1.000000000e+01     1.000000000e-02
   144     1.928855872e+30     2.857619206e+08     1.000000000e+09     4.919847106e+04     1.714571524e+09     4.000000000e-01     1.000000000e+01     1.000000000e-02
   145     1.941476037e+30     2.860120040e+08     1.000000000e+09     4.906952930e+04     1.716072024e+09     4.000000000e-01     1.000000000e+01     1.000000000e-02
   146     1.954085171e+30     2.862620874e+08     1.000000000e+09     4.894103773e+04     1.717572524e+09     4.000000000e-01     1.000000000e+01     1.000000000e-02
   147     1.966683295e+30     2.865121707e+08     1.000000000e+09     4.881299438e+04     1.719073024e+09     4.000000000e-01     1.000000000e+01     1.000000000e-02
   148     1.979270427e+30     2.867622541e+08     1.000000000e+09     4.868539730e+04     1.720573525e+09     4.000000000e-01     1.000000000e+01     1.000000000e-02
   149     1.991846587e+30     2.870123374e+08     1.000000000e+09     4.855824456e+04     1.722074025e+09     4.000000000e-01     1.000000000e+01     1.000000000e-02
   150     2.004411794e+30     2.872624208e+08     1.000000000e+09     4.843153422e+04     1.723574525e+09     4.000000000e-01     1.000000000e+01     1.000000000e-02
   151     2.016966066e+30     2.875125042e+08     1.000000000e+09     4.830526435e+04     1.725075025e+09     4.000000000e-01     1.000000000e+01     1.000000000e-02
   152     2.029509423e+30     2.877625875e+08     1.000000000e+09     4.817943304e+04     1.726575525e+09     4.000000000e-01     1.000000000e+01     1.000000000e-02
   153     2.042041884e+30     2.880126709e+08     1.000000000e+09     4.805403840e+04     1.728076025e+09     4.000000000e-01     1.000000000e+01     1.000000000e-02
