#      index      mass[g]      radius[cm]      temperature[K]      density[g/cm^3]      velocity[cm/s]      ye(initial)      entropy[kb/baryon]      expansion_timescale[s]
3000
    87     1.350255333e+30     2.715071691e+08     1.000000000e+09     6.505231820e+04     1.629043014e+09     1.000000000e-01     1.000000000e+01     1.000000000e-02
    88     1.365318632e+30     2.717572524e+08     1.000000000e+09     6.487289113e+04     1.630543515e+09     1.000000000e-01     1.000000000e+01     1.000000000e-02
    89     1.380368076e+30     2.720073358e+08     1.000000000e+09     6.469412331e+04     1.632044015e+09     1.000000000e-01     1.000000000e+01     1.000000000e-02
    90     1.395403690e+30     2.722574191e+08     1.000000000e+09     6.451601172e+04     1.633544515e+09     1.000000000e-01     1.000000000e+01     1.000000000e-02
    91     1.410425499e+30     2.725075025e+08     1.000000000e+09     6.433855336e+04     1.635045015e+09     1.000000000e-01     1.000000000e+01     1.000000000e-02
    92     1.425433528e+30     2.727575859e+08     1.000000000e+09     6.416174522e+04     1.636545515e+09     1.000000000e-01     1.000000000e+01     1.000000000e-02
    93     1.440427804e+30     2.730076692e+08     1.000000000e+09     6.398558433e+04     1.638046015e+09     1.000000000e-01     1.000000000e+01     1.000000000e-02
    94     1.455408350e+30     2.732577526e+08     1.000000000e+09     6.381006774e+04     1.639546516e+09     1.000000000e-01     1.000000000e+01     1.000000000e-02
    95     1.470375193e+30     2.735078359e+08     1.000000000e+09     6.363519250e+04     1.641047016e+09     1.000000000e-01     1.000000000e+01     1.000000000e-02
    96     1.485328357e+30     2.737579193e+08     1.000000000e+09     6.346095568e+04     1.642547516e+09     1.000000000e-01     1.000000000e+01     1.000000000e-02
    97     1.500267867e+30     2.740080027e+08     1.000000000e+09     6.328735438e+04     1.644048016e+09     1.000000000e-01     1.000000000e+01     1.000000000e-02
    98     1.515193749e+30     2.742580860e+08     1.000000000e+09     6.311438570e+04     1.645548516e+09     1.000000000e-01     1.000000000e+01     1.000000000e-02
    99     1.530106026e+30     2.745081694e+08     1.000000000e+09     6.294204675e+04     1.647049016e+09     1.000000000e-01     1.000000000e+01     1.000000000e-02
   100     1.545004724e+30     2.747582528e+08     1.000000000e+09     6.277033469e+04     1.648549517e+09     1.000000000e-01     1.000000000e+01     1.000000000e-02
   101     1.559889868e+30     2.750083361e+08     1.000000000e+09     6.259924665e+04     1.650050017e+09     1.000000000e-01     1.000000000e+01     1.000000000e-02
   102     1.574761481e+30     2.752584195e+08     1.000000000e+09     6.242877981e+04     1.651550517e+09     1.000000000e-01     1.000000000e+01     1.000000000e-02
   103     1.589619589e+30     2.755085028e+08     1.000000000e+09     6.225893135e+04     1.653051017e+09     1.000000000e-01     1.000000000e+01     1.000000000e-02
   104     1.604464217e+30     2.757585862e+08     1.000000000e+09     6.208969846e+04     1.654551517e+09     1.000000000e-01     1.000000000e+01     1.000000000e-02
   105     1.619295388e+30     2.760086696e+08     1.000000000e+09     6.192107837e+04     1.656052017e+09     1.000000000e-01     1.000000000e+01     1.000000000e-02
   106     1.634113127e+30     2.762587529e+08     1.000000000e+09     6.175306830e+04     1.657552518e+09     1.000000000e-01     1.000000000e+01     1.000000000e-02
   107     1.648917459e+30     2.765088363e+08     1.000000000e+09     6.158566550e+04     1.659053018e+09     1.000000000e-01     1.000000000e+01     1.000000000e-02
   108     1.663708406e+30     2.767589196e+08     1.000000000e+09     6.141886722e+04     1.660553518e+09     1.000000000e-01     1.000000000e+01     1.000000000e-02
   109     1.678485995e+30     2.770090030e+08     1.000000000e+09     6.125267073e+04     1.662054018e+09     1.000000000e-01     1.000000000e+01     1.000000000e-02
   110     1.693250249e+30     2.772590864e+08     1.000000000e+09     6.108707334e+04     1.663554518e+09     1.000000000e-01     1.000000000e+01     1.000000000e-02
   111     1.708001191e+30     2.775091697e+08     1.000000000e+09     6.092207233e+04     1.665055018e+09     1.000000000e-01     1.000000000e+01     1.000000000e-02
   112     1.722738846e+30     2.777592531e+08     1.000000000e+09     6.075766503e+04     1.666555519e+09     1.000000000e-01     1.000000000e+01     1.000000000e-02
   113     1.737463238e+30     2.780093364e+08     1.000000000e+09     6.059384876e+04     1.668056019e+09     1.000000000e-01     1.000000000e+01     1.000000000e-02
   114     1.752174391e+30     2.782594198e+08     1.000000000e+09     6.043062088e+04     1.669556519e+09     1.000000000e-01     1.000000000e+01     1.000000000e-02
   115     1.766872328e+30     2.785095032e+08     1.000000000e+09     6.026797875e+04     1.671057019e+09     1.000000000e-01     1.000000000e+01     1.000000000e-02
   116     1.781557073e+30     2.787595865e+08     1.000000000e+09     6.010591973e+04     1.672557519e+09     1.000000000e-01     1.000000000e+01     1.000000000e-02
   117     1.796228650e+30     2.790096699e+08     1.000000000e+09     5.994444123e+04     1.674058019e+09     1.000000000e-01     1.000000000e+01     1.000000000e-02
   118     1.810887082e+30     2.792597533e+08     1.000000000e+09     5.978354064e+04     1.675558520e+09     1.000000000e-01     1.000000000e+01     1.000000000e-02
   119     1.825532394e+30     2.795098366e+08     1.000000000e+09     5.962321538e+04     1.677059020e+09     1.000000000e-01     1.000000000e+01     1.000000000e-02
